-a,Finaĵo (lingvoscience: sufikso) markanta la vorton kiel adjektivon:
ato-,"Triilionono da, 10-18 en la Internacia Sistemo de unuoj (SI): la revo de sciencistoj estas produkti impulsojn kiuj daŭras nur sekundojn Behrouz Soroushian Produkto de ultrarapidaj laseraj impulsoj Malpli ol pikosekundo ."
atolo,Ringoforma insulo formita de koraloj: Usono eksperimentis per hidrogena bombo ĉe la o Bikini Monato Hori Jasuo Bruo pribrua ; la Francfregataj Sablejoj […] estas la plej granda o de la Nordokcidentaj havajaj insuloj Viki Francfregataj Sablejoj .
atomo,"Iu tiu ero, el kiuj konsistas la ĥemiaj elementoj, kaj molekuloj, konsistanta el kerno, formita de protonoj kaj neŭtronoj, kiun ĉirkaŭas elektronoj: o de oksigeno havas 8 protonojn en sia kerno Monato Pejno Simono Moderna minaco: radioaktiveco 2011 ; precizege mezuri la tempon [per] vibrado de la oj de la metalo cezio Walter Klag Pli ekzakte ne eblas: Radi-regata horloĝo Monato 2000/10, p. 13 ; en molekulo de ribozo estas, inter aliaj oj, kvin oj de oksigeno Steĉjo Norvel Riboj Monato 2000/11, p. 16-17 ; kvantumfiziko bonege traktas la malgrandan mondon de oj kaj nukleoj Monato Bruce Sherwood Naturo de scienco 2010 ; nia korpo konsistas el oj – li ripetadis – kaj tiun fakton ne povas ŝanĝi ia ajn anima flugetado VaK ; ĉiuj oj de mia korpo konsistas el produktaĵoj de tiu ĉi lando Homaranismo Pri la homaranismo ; [li] liveris plurajn prelegojn pri problemoj rilatantaj al molekuloj kaj oj EeP ."
atomismo,"Doktrino pri la a konsisto de la materio kaj universo, kaj ilia formiĝo per kuniĝo de oj: [fondiĝis la] Epikur[a] filozofio tute materiisma kaj isma de la naturo Viki Greka filozofio ; budhana ismo kaj la Jaina skolo daŭrigis la tradicion Viki Materiismo ."
Atomiumo,"Monumento en Bruselo, simbolanta kuban kristalstrukturon el naŭ atomoj: la o, ekde 1958 la simbolo de Bruselo, estis blue lumigita Monato pp Blua Atomiumo pro forrabita ĵurnalistino 2005 ; kvankam o devis simboli la progreson faritan en Belgio rilate la ŝtalindustrion, la sferoj mem estas konstruitaj el aluminio Monato Lode Van de Velde Feliĉan datrevenon! 2008 ."
atonio,"Malvigleco de la organoj: flegmulo malfacile kaj malrapide ŝanĝas unu specon de agado per alia kaj malbone sin sentas en novaj nekonataj medioj, se cirkonstancoj estos malfavoraj, li povas iĝi a, malenergia Viki Flegmulo ."
atrakcio,"Spektaĵo en cirko aŭ en varieteo ks, aparte vekanta la intereson de la publiko: laŭlonge de Moskva-rivero eltiris sin, alterne kun frukto-vendejoj kaj trinkbudoj, oj Metrop; la pinta o de la spektaklo MD17 Triumfo de la Paranoja Stilo ."
atrepsio,"Malsano de novnaskitoj, kaŭzata de nesufiĉa nutrado: o ofte aperas post kronika diareo elerno.cn ."
atrio,"Centra salono ricevanta desupran lumon tra tegmenta malfermaĵo aŭ vitraĵo: oni […] eniris en on — internan kvarangulan korton IntArkeol; Sileno, kiu bonvenigis la gastojn en la majesta o, kutime sekvis Dionizon, la grekan dion de la vino CRI Alessandra Madella Dioniza tigro de la vina Silka Vojo 2022-03-04 17:15:29 ."
atribui,"Asigni, destini, doni ion al iu kiel lian: i la patran domon, kiel parton de la heredaĵo, al la plej aĝa filo; i sumon de mil frankoj por la loterio; ĉu ni u ĉiujn taskojn al viroj kaj neniujn al virinoj? Rsp ; Oskar-premioj estas […] ataj al la plej bonaj filmoj, kaj al la plej bona laboro farita de profesiuloj laborantaj en la kinarto Ko11 Esperanta kinarto vivas malgraŭ la esperantistoj ; la individuaj hotelĉambroj ne ĝuis la eksterteritorian statuson itan al la konstruaĵoj kunside kaj ofice uzataj por la konferenco, sed estis dube, ĉu Plum sciis pri tiuj subtilaj juraj nuancoj CKv ; post o de la patento, necesas traduko al la oficialaj lingvoj de la membro- ŝtatoj en kiuj la patento estu valida Roland ROTSAERT Patenta (mal)sukceso Monato 2000/11, p. 11 ; o de la postenoj laŭ la proporcia voĉdonado LOdE 1999, No 12 (62) ; la o de la Zamenhofa nomo al la unua strato en Pollando LOdE 2000, No 12 ."
atributo,"Eco, per kiu oni povas rekoni ion:"
atriplo,"Genro el familio amarantacoj (Atriplex): pro malriĉeco kaj malsato [ili] elŝiras on apud la arbetaĵoj MT Ijob 30:4 ; ili hazarde kreskis […] sur nesarkita loko […] densa aro kaj iaj altaj herbaĉoj ĉirkaŭis ilin V. Garŝin, trad. M. Povorin, La ruĝa floro, LOdE, 2006:12 (146) ."
atrofio,"Malgrandiĝo de organo, histo, ĉelo, natura aŭ malsaneca: pro la detruo de neŭronoj (nervaj ĉeloj) ĉe malsanuloj aperas muskola o Monato Vladimir Lemelev Poliomjelito: ĉu la dua tutmonde likvidota infektmalsano? 2011 ; la o de l’ umbilika ŝnuro ChL Ĉapitro Dua ."
atrofia,"En stato de o: paralizita kaj a dekstra piedo, tipa por la sekvoj de poliomjelito Monato Vladimir Lemelev Poliomjelito: ĉu la dua tutmonde likvidota infektmalsano? 2011 ; FIG lia koro, rilate al amo, jam estis […] tro atrofia por senti eĉ la indignon Iŝtar Ĉapitro XVII ."
atrofii,(Ek)esti a: dum la interplaneda vojaĝo […] la membroj certe iom os Monato Garvan Makaj Vojaĝo unudirekta 2010 .
atrofiiĝi,Iĝi a.
atrofiigi,Kaŭzi on.
atropino,"C17H23O3N, alkaloido, tre venena, eltirata el beladono, kaj plilarĝiganta la pupilon: Pierre Joseph Pelletier […] esploris kaj sintezis plurajn alkaloidojn same kiel atropinon (1831), strikninon (1818), kininon (1820) […] Viki Pierre Joseph Pelletier ."
atuto,"Gajniga emblemo en pluraj kartludoj: la pastro […] kovris lian ason per o PatrojFiloj 21 ; FIG por scii la veron, ŝi ludis sian lastan on ChL Ĉapitro Oka ;"
atuti,"Meti, ludi on: lastinstance mi as LSB Kremkaful'! ."
malatuto,"Senvalora karto (figure: ĝenaĵo): FIG maloj de la esperanta editorado estas verŝajne tri […] C. Minnaja, La konflikto de la epokoj [recenzo], Literatura foiro, 1988-04 (112) ."
superatuti,"Meti superan on en la batalon: certe, tiel ni povus superi la Pennington’ojn, tiun favan bandon MortulŜip Ĉapitro 6 ."
aŭ,Disiga konjunkcio :
aŭ... aŭ...,"Konjunkcio duopa, uzata por kunigi du vortojn aŭ propoziciojn, kiuj prezentas la sole eblajn elektojn: diru tion al la kapitano, al la leŭtenantoLR, Respondo 21, La Revuo, 1907, Junio."
aŭo MatStokTerm,"Logika ligilo kaj la duloka logika operacio respondaj al la gramatika konjunkcio (pli ĝuste, kaj): ĝia rezulto estas vero, se ajna el la argumentoj estas tia: en la programlingvo C unuopa vertikala streko | indikas laŭbitan on, kaj duopa vertikala streko ||, la sorbeman aŭ logikan on."
kajaŭ,"Kunordiga konjunkcio, indikanta ajnan el la du koncernaj aferoj sole aŭ ambaŭ kune; t.e. A kaj B validas, se validas ajna el: nur A; nur B; kaj A kaj B kune: kunhavi ... iliajn kodon kaj datumojn KompLeks, heredado."
kajaŭo PIV2,"o (pli emfaza termino, kontraste al diso)."
disaŭo PIV2,"Logika ligilo kaj la duloka logika operacio respondaj al la disiga konjunkcio : ĝia rezulto estas vero, se tia ajna el la argumentoj, sed ne ambaŭ kune."
malaŭo,"Logika ligilo kaj la duloka logika operacio kiu malveras se almenaŭ unu el ĝiaj argumentoj estas vera: x MALAŬ y = NE (x AŬ y) = (NE x) KAJ (NE y): ĝi do respondas al la komunlingva nek ... nek ...: malo estas speciale interesa tial, ke ajna Bulea funkcio estas esprimebla per tiu sola operacio KompLeks, malaŭo."
aŭdi,"Senti, percepti per la oreloj: orelojn ili havas, sed ne as MT, 135:17; vian voĉon mi is en la ĝardeno MT Genezo 3:10 ; mi is la ĝemadon MT Eliro 6:5 ; bojas hundido kiel ĝi as de hundoj PrV; li as muzikon Will Green Will Green kondukas vin tra sia telefona labirinto Monato 1994/01, p. 13 ; li kuŝis senmove kelkajn minutojn, provante i sian internon Konstanten Krysakov Kota akvo Monato 2000/03, p. 28 ."
aŭdo,"ado: unu vido taŭgas pli ol dek oj ein Bild sagt mehr als tausend Worte voir c'est croire PrV; ne laŭ la o de siaj oreloj li eldirados verdiktojn MT Jesaja 11:3 ; lia rigardo kaj o svagiĝis Monato Lode Van de Velde Trancporto 2010 ; miso Pejno Simono Ĉu ni mortu miskomprene? (2) Monato 2000/10, p. 23-25 ;"
aŭda,"Koncernanta la adon: frekvenco detektebla per la a sistemo Viki Ondo ; la a subfrekvenco estas 7,74 MHz PEJNO Simono Poloj per pelvo Monato 1995/04, p. 17 ; a sistemo Aŭda sistemo ."
aŭdado,Sentado de sonoj: ado de instruo MT Sentencoj 28:9 ; ne pleniĝas la orelo de ado MT Predikanto 1:8 ; revolucia nova maniero de ado Viki Renesanco ; nia aŭdado alkutimiĝis [...] al la ja tre malĝustaj tercioj kaj sekstoj Viki Piano .
aŭdigi,"Fari eblan sonon: leonido igis sian voĉon MT, 3:4; la tondro igadis brue frapon post frapo Fab1, Sovaĝaj cignoj; sensonan kvakadon ŝi de tempo al tempo igadis, tute tiel, kiel igas infano, kiam ĝi ĝemas en sonĝo Fab4 Filino de la marĉa reĝo ."
aŭdilo PIV1,"Aparato, tenata proksime al la orelo kaj transformanta elektran kurenton en sonon: li levis la ilon (de telefono) M. Ende, trad. W. Diestel La Senĉesa Rakonto 1997 ."
misaŭdi,"i malĝuste; kompreni ion, kio ne estis dirita: ŝi misis miajn vortojn mi ne diris pli maldika, sed pli dika VaK ; vi misis, Jano, ŝi diris per tre stranga voĉo, […] laŭ maniero incite nekomprenebla ChM ; se mi ne misis, vi bonvolis diri, ke Jesuo neniam ekzistis, ĉu? MkM ?"
neaŭdita,"Sen, ke oni as ion: ŝia senfortiĝinta voĉo timis la stratan bruon, en kiu ĝi devus droni neita Marta ."
kapaŭdilo,"Aparato kun ilo, fiksita sur la kapo aŭ en la oreloj: mia kapilo flugis de sur mia kapo esperanto - graynoise.konfuzo.net ; hometoj kun kapiloj kaj magnetofonoj Monato Paul Gubbins Saluton, serĝento! 2013 ."
"aŭdpovo, aŭdkapablo","Senso, per kiu oni perceptas sonojn: mi havas tre bonan povon Lasu, 6; kiel 16-jarulo Lorm perdis sian kapablon Monato Gert Heintze Alfabeto por surdblinduloj 2003 ; se mia kapablo povus kapti ĉiun bruon en la mondo, mi us liajn paŝojn J. L. Borges, trad. M. Giorgini, La domo de Asteriono, 2006-12 ; [ĉar multe oni] skribas, Esperanto […] estas sendube preskaŭ tiom utila al la surduloj kiom al opovaj Garbhan MacAoidh Ne ĉiuj lingvoj estas langaj Monato 2000/06, p. 14 ."
aŭdaci,"Riski fari ion, malgraŭ la danĝeroj aŭ malhelpoj; maltimi: la du unuaj, kiuj is eksciti la popolon kontraŭ Cezaro, estas kaptitaj MkM; li is la aventuron elŝipiĝi MortulŜip Ĉapitro 24 ; ĉu mi u peti iun knabinon al dancado FSI? FIG vertiĝodona centra altaĵo, kiun tempo ne is tuŝi, kronita de preĝejo Sol."
aŭdaca,"oplena, riskemega, maltima: a pamfleto, revo, paradokso, koketeco, entrepreno, mieno, ŝtelisto; neniu el la knaboj estis pli a kaj bubeca ol ŝi InfanTorent2 Dua Parto ; aŭdacaj gepatroj […] ne hezitis enkonduki [tiun lingvon] eĉ en la familian vivon Ret; liaj versoj per aj ritmoŝanĝoj substrekas la disvolviĝon de lia inspiro EeP; sian iom hispanecan eksteraĵon […] li substrekis per agrabla, tamen iom a vestaĵo KKr; stelulino, tutmonde konata pro siaj aj dekoltaĵoj KrB; a ŝtelo okazis hieraŭ nokte, unu horon post la fermo de la foiro KrM."
aŭdaco,"Ago aŭ sinteno de iu, kiu as: mi descendis de la tablo kun la o de la profetoj, kaj kunplektinte miajn brakojn sur mia brusto mi firme okulen rigardis la kirliĝantan amason de la frenezuloj VaK."
malaŭdaca,"Embarasiĝema, ĝeniĝema, al kiu mankas memfido, kiu antaŭtimas malobei decon aŭ kutimon: li estis tro mala por demandi pri tio; mala rigardo, rideto; ĉu ĝi (MOK) rajtas enkonduki hierarkiojn en la internacian juron, kiam tiu juro mem estas ĉi-rilate tiom mala? Le Monde diplomatique en Esperanto; La junulo alproksimiĝas; per mala mano li levas la vualon (de Kunigundo) Voltero, tr. S. Pokrovskij: Kandido, aŭ Optimismo. Literatura suplemento al LOdE, 2022. ĉap. 7ª. ."
aŭdienco,"Akcepto de oficialulo al vizitantoj: ili petas on ĉe la reĝino FK Fundamenta Krestomatio de la lingvo Esperanto ; [ŝi] ordonis al mi peti on de via sankteco Far3 Ĉapitro III ; peti on de la ministro KPr Ĉapitro Naŭa ; post la dua akto de la teatraĵo mi petis on ĉe la reĝisoro, kiu komence ne volis akcepti min IdO Unua Parto ; la unua o ne daŭris pli ol du aŭ tri minutojn, kaj ŝajne ne estis tre kontentiga por ĉiuj koncernatoj Iŝtar Ĉapitro X ; antaŭ ol Melzar eliris el la ejo, la ĉambelano enlasis ĵus alvenintan oficiron Iŝtar Ĉapitro XXII ; Audienzzimmer tie la reganto de la Babela imperio donis frumatenajn ojn Iŝtar Ĉapitro XVIII ; disponeblas la notoj rilate la ojn de Pio la 11a kun diplomatoj akredititaj ĉe la Sankta Seĝo Monato Silvia Garnero Sekretoj studeblaj 2006 ."
aŭditorio,"Ĉambrego por universitataj aŭ publikaj prelegoj ks; prelegejo: kiam venis Agripo kaj Bernike kun grandioza parado […] ili eniris en la on kun la ĉefkapitanoj kaj la eminentuloj el la urbo NT La agoj 25:23 ; kune kun 300 aliaj homoj mi sidas en granda o, aŭdante lekcion pri algebro FSI ; eminenta Emèric, ĉu vi komplezos i bukedon el miaj komponaĵoj MMa ?"
aŭgmentativo,"Maldiminutivo: mal(varmega) kaj (malvarm)ega estas samsignifaj: la malo de varmega kaj la o de malvarma samas Christer Kiselman: Variantoj de esperanto iniciatitaj de Zamenhof Aktoj de la 33-a Esperantologia Konferenco en la 95-a Universala Kongreso de Esperanto, Havano, 2010 ."
Aŭgsburgo,"Bavara urbo nordokcidente de Munkeno: la katastrofo eliris de la bavara urbo o Stefan Maul Pekoj de patriarko Monato 2000/03, p. 9 ; ĉe eta vilaĝo apud o en gruzejo oni malkovris ion ege sensacian: skeleton de pra-elefanto Monato Jomo Ipfelkofer Fosilioj en suda Germanio ; mi eklernis Esperanton dum la Universala Kongreso en o 1985 Monato Franz-Georg Rössler Arĝenta kunlaboro ."
6aŭguri,"Diveni, antaŭdiri estontaĵon helpe de aj signoj: ĝi estas ja tiu pokalo, el kiu trinkas mia sinjoro, kaj li ankaŭ as sur ĝi MT Genezo 44:5 ; li diris: u al mi, mi petas, per via a povoscio, kaj elvoku al mi tiun, pri kiu mi diros al vi MT I. Samuel 28:8 ; egipta isto komencis i al la gastoj ilian estontecon laŭ moviĝado de ĉielarke koloraj doradoj (orsparoj), fermitaj en kristala vazo QuV ; oni iam is al mi, ke Romo ĉesos ekzisti, kaj mi regos super la tuta Oriento QuV ; eĉ duonjaron mi ne as al lia regado SatirRak ; la horoskopistoj […] as la estonton laŭ, ekzemple, koloroj de fumo eliranta el uzintuboj Nikolao Gudskov En spegulo de l' sarkasmo Monato 2000/07, p. 18 ; doktoriĝanto ellaboris teston por i (prognozi), ĉu abiturientoj kapablos sukcese eniri universitatan studfakon Guido van Damme Studentoj universitaton soifantaj Monato 2001/02, p. 12 ."
aŭguro,"Ago i; antaŭsigno de estontaĵo: la amon de la popolo oni povis pli ĝuste konsideri malbona o, kaj la skeptika Petronius estis samtempe superstiĉa QuV ; oj kaj sonĝoj – tio ligas sin kune QuV ; ŝajnas al mi, ke estis en tio ia minaco, kvazaŭ o de malfeliĉo QuV ; falsa o SatirRak La falsa aŭguro ; [ili] zorgumis, ĉu la oj eble ne praviĝos estontatempe SkandalJozef Plendoj de Jozefo arestita ; oj de ĵurnalistoj pri politiko ne tre fidindas Monato Ivo Durwael Kelkaj kontentas, kelkaj kritikas 2012 ."
aŭguristo,"Antaŭdiristo anoncanta okazontaĵojn per interpreto de antaŭsignoj: [ĉu] troviĝi inter vi iu […] isto, antaŭdiristo, magiisto, sorĉisto MT Readmono 18:10 ? la Filiŝtoj vokis la pastrojn kaj la istojn, kaj diris: kion ni faru kun la kesto de la Eternulo MT, 6:2? saĝulo kaj isto, kiu scias antaŭlegi homajn sortojn kaj antaŭdiri estontecan QuV ."
bonaŭgura,"Anoncanta feliĉigan estontaĵon: oni ne elektis ankoraŭ bonan daton RugxDom, ĉapitro 66a, volumo 2a, p. 424a; la decido estas bona Monato Alberto García Fumero Servo alternative fiksita 2009 ."
malbonaŭgura,"Anoncanta malbonan estontaĵon: ho, ŝi diris, kia malbona birdo vi estas! Fab4 Anneto ; sub tiu frunto de duondio troviĝis vizaĝo de simio […], al Ligia li ekŝajnis malbona, sed antaŭ ĉio abomena QuV ; el la kunpremitaj makzeloj eliĝadis malbona grinco QuV ."
manaŭguri,"i analizante la strukturon de manplato: Ĉinio malpermesas lernejan manadon Arono kaj Karlina, Radio Verda, RV188, 2012-02-19 . palmistri"
"Aŭgusto, Aŭgusto","Oka monato de la jaro laŭ la Gregoria kalendaro, inter Julio kaj Septembro: komencante de o 1888 mi eldonados ĉiumonate nomarojn de ĉiuj verkoj pri la lingvo internacia DL ; en o 1905 en la franca urbo Boulogne-sur-Mer havis lokon la unua tutmonda kongreso de esperantistoj Homaranismo Homaranismo ; en o ĉiam falas multe da steloj IK ; en januaro oni havas 10 gradojn super la nulo, en o 27 Far1 Antaŭparolo ."
Aŭgusta,"Okazanta en o, rilata al o: la a ĉielo estis plena de steloj IK ; komenciĝis la tradicia a festo de la urbo Monato Tatjana Loskutova Vojaĝo en Iberio ; la a-septembra numero de Monato Monato Josef Ŝemer Israelo 60-jara (3) ."
Aŭgusto,"Vira antaŭnomo latindevena: o estas mia plej amata filo F, 22; Lia Regnestra Moŝto la Reĝo Frederiko o de Saksujo Paroloj Parolado antaŭ la Kvara Kongreso Esperantista en Dresden en la 17a de aŭgusto 1908 ; en tiuj tagoj eliris dekreto de Cezaro o, ke la tuta mondo estu registrita NT Luko 2:1 ; la a kohorto NT La agoj 27:1 ."
Aŭgusteno,"Vira antaŭnomo latindevena: ŝi povis nur stari ekstere kaj kanti: Ha, vi kara o... Fab2, paŝtisto de porkoj."
aŭko,"Genro el la familio edoj (Alca): la oj estas nordatlantikaj akvobirdoj el la ordo de Ĥaradrioformaj, kun larĝa flankebena beko, pinta vosteto kaj kruroj malantaŭe lokiĝintaj Viki Aŭko ; la nomo pingveno antaŭe estis uzata jam en la 16a jarcento por […] la Granda o, kiu vivadis en la norda Atlantiko, sed nun estas formortinta Viki Pingveno ."
aŭkcio,"Procedo de vendo per publika konkuro, kie la pliproponanto ricevas la aĉeteblaĵon: a vendo, propono; la bienon de mia patro oni ... vendis per o Marta."
aŭkcii,"Vendi per o: oni is la leterojn de iu usona poeto E. Grimley Evans, Re: afiŝado de retmesaĝoj, soc.culture.esperanto, 2000-08-24 ."
aŭkciisto,Komisiito por e vendi.
aŭkedoj,"Familio el la ordo ĥaradrioformaj birdoj (Alcidae): la oj […] aspektas iom kiel pingveno pro iliaj blanka kaj nigra koloroj, la rektiĝa pozicio kaj pro kelkaj el iliaj kutimoj, tamen ili tute ne estas parencaj al pingvenoj Viki Aŭkedoj ."
aŭlo,"Solenejo, festoĉambrego ĉe universitato aŭ supera lernejo: la gimnazianoj en militserva aĝo estas kunvokitaj akurate je la 8a kaj duono, en la granda o KielAkvo, 2:2; en la Granda o de la universitato multaj eminentuloj salutis, gratulis kaj bondeziris al la komuna iniciato de ULBS kaj AIS LOdE AIS fondis departementon kun la universitato de Sibiu-Hermannstadt ."
Aŭreliano,"Vira antaŭnomo latindevena: la ... festo de la ... Nevenkebla Suno, fiksita de imperiestro o trad. B. C., Kial la 25-a de decembro?, Espero katolika, 1982-11 ."
aŭreolo,"Luma rondo, kian oni pentras ĉirkaŭ la kapo de sanktuloj: la o […] radiis de la Dipatrino, de Jesuo kaj de Johano Fab1 Kupra porko ; sekvos la maldungoj kaj mi eble devos plandi de oficejo al oficejo, ĝis fine iu anĝelo dungos min kiel poluriston SatirRak ; la tuta insulo naĝis en la o de la suno VaK ; la nobeleco! […‐] la Revolucio ĝin malkronigis el ĝia diamanta o KPr ."
aŭreoli,"Ĉirkaŭi kiel o: oni eklumigis la artajn fajrojn, la ruĝa lumo is Georgon IKr ; la juna venkanto sin prezentis al ŝi, ita de sia triumfo KPr ."
aŭriklo,"La ekstera parto de orelo: se la surkapa aŭdilo ne […] estas hermeta sur aŭriklo, ĝia efiko ne estas sufiĉa por basaj frekvencoj Miroslav Baroš Altfidele sonreproduktanta miniatura intrameata aŭdilo Scienca Revuo, vol. 32 (1981), n-ro 1 (137) ; ĉar [hipopotamo] pasigas plimulton de tempo en la akvo (proksimume 18 horoj ĉiutage), ĝi havas fermeblajn oj kaj naztruojn Viki Amfibia hipopotamo ."
aŭrikulo,"Specio de primolo (Primula auricula), kiu floras antaŭ la komenco de printempo: o estas 10 - 15 cm alta staŭdo, kiu floras tre frue en la printempo kun floroj en umbelo Viki Primolacoj ."
aŭrikulo,"Genro de malgrandaj, aerspiraj marbordaj gastropodoj (Melampus, sin. Auricula): oj havas pulmon kaj vivas proksime de la bordo en la tajda zono."
aŭroro,"Matena krepusko, matenruĝo: o kun rozkoloraj fingroj (konsiderata kiel manifestiĝo de la samnoma diino, beletra metaforo); ni sanktigos la hodiaŭan nokton kaj la on, kiu ĝin sekvos Far1 Ĉapitro IX ; en la oriento super la horizonto ekludis la unuaj subtilaj perlamotkoloroj de la o Michael Ende, trad. Wolfram Diestel La Senĉesa Rakonto Goabo, la dezerto de la Koloroj ."
aŭroro,"Diino de la mateno en antikva greka mitaro: tiel povus aspekti o – kaj, kiel spertulo, li ekkomprenis, ke estas en ŝi io eksterordinara QuV Ĉapitro II ."
aŭrori,"Esti la momento de o: en Moskvo as, […] de sube priradiate, ore brilas nubo MkM 6 ; eliru, dum palpe mateno as, / tra l' ombra ĝardeno senbrua Poul Thorsen, Babile kun mi mem. - Beletra: 1996, Finbabile? ; la tagoj grize is, fulikoj kaj anasoj sulkis la kanalon fronte sub la fenestro Monato La Nekaptebla Os' ."
antarkta aŭroro,"o, okazanta ĉe la suda poluso."
"arkta aŭroro, boreala aŭroro","Nordlumo: Máire esperis spekti la borealan on, sed, kvankam ni dufoje eliris dumnokte kun grupeto da turistoj, ni ne sukcesis vidi ĝin Garvan Makaj' La islanda: revo de ne plu juna lernemulo Monato 2015 ."
aŭskulti,"Atenti por aŭdi: i la predikon Fab1 Malgranda Niko kaj granda Niko ; la patrino metis la okulvitrojn kaj legis voĉe el granda libro, ambaŭ knabinoj is ElektFab Neĝulino kaj Rozulino ; li […] povosciis rakonti tiom multe da fabeloj kaj historioj, ke estis plezuro lin i Fab2 Sambuka virineto ; [li] faris unu paŝon antaŭen, is, faris denove unu paŝon Fab4 Filino de la marĉa reĝo ; ne inte ne kondamnuPrV; en la palaco estis ordinara afero i ĉe la pordoj Far3 Ĉapitro III ; kiu trans muro as, tiun la muro insultas PrV ; kiu as, kie li ne devas, tiu aŭdas, kion li ne revasPrV; [li] kaŝe aŭskultas la radion Monato Nina Korĵenevskaja-Gouriou Kial lundo ekas sabate? 2006 ."
aŭskultanto,"Iu, kiu as: via afero estas bona kaj justa, sed ne ekzistas por vi anto ĉe la reĝo MT II. Samuel 15:3 ; estu plenumantoj de la vorto, kaj ne nur antoj NT Jakobo 1:22 ; anto de rakonto Fab4 Filino de la marĉa reĝo ; longa aklamo de l' antoj aprobis la benon de l' ĉefpastro Far2 Ĉapitro III ; kolektiĝis sufiĉa nombro da antoj Far2 Ĉapitro XV ."
aŭskultilo,"Aŭdilo: mi ne plu ion scias, Niko, — sonis en la ilo, — ĉu vi venos Jamburg, ĉapitro 16a, p. 100a? subite la telefono sonoris, kaj ŝi tuj prenis la ilon Monato Bunmi Osho-Davies La velka rozo 2006 ; vigla diversspeca muziko en la iloj, per kiuj estis ekipita ĉiu sidloko[…] direktis miajn okulojn eksteren Monato Tatjana Loskutova Vojaĝo en Iberio 2007 ."
aŭskultumi,"Sisteme i la internajn bruojn de la korpo por diagnozo: la kuracisto umas Krukon, esploras ĉiujn liajn organojn kaj poste demandas lin pri lia seksumado L. Beaucaire, Kruko kaj Baniko el Bervalo, 1974; la stetoskopo estas uzata de la prisanaj profesiuloj por umi la korbatojn, la spiran murmuron, la arterian pepadon, la abdomenajn aŭ fetajn bruojn Viki Stetoskopo ."
fiksaŭskulti,"Atente i, ne moviĝante, ne bruante: li eksilentis kaj fiksis, trans la pordo laŭte ekridis la prizonulo A. Grin, trad. J. Finkel, La mondo brilanta, 2010 ; li […] en fajfo de malvarma vento fiksas — ĉu tio estas ŝanĝo de direkto en la ĝenerala kurso aŭ kontraŭsubmarina zigzago J. German Mi responsas pri ĉio ?"
kapaŭskultilo,"Kapaŭdilo krei sian propran sonmondon? iuj faras tion – tute konkrete per kapiloj M. Sandelin, [blogo], 2005-12-28 ; kiam preleganto parolis angle, eble dekono metis la kapilon, por francparolanto duono uzis ĝin Monato Roland Rotsaert Spertoj de amatora lobianto 2007 ; je ioma distanco troviĝis kapiloj, per kiuj oni povas aŭskulti la poemojn deklamatajn de la verkistoj mem Monato Jakvo Schram Ekspozicio, kiu prenis je la gorĝo 2012 ."
subaŭskulti,"Kaŝe i: vi certe aŭdis, kion ŝi rakontis, ĉar […] vi havas la kutimon subi Fab2 Neĝa reĝino ; Bobĉinskij enrigardas tra la pordo kaj subas Revizoro, akto 2a, sceno 8a. laŭdire la militistoj subis ankaŭ la ĉefministron de la slovaka registaro Monato Julius Hauser Subaŭskulta skandalo 2012 ; iu taksis min sufiĉe grava, almenaŭ politike interesa, por subi kaj registri miajn telefonmesaĝojn Monato Paul Gubbins Saluton, serĝento! 2013 ; iu instalis subilon en la ĉambro, kie kunvenis la unua komisiono Monato Bardhyl Selimi Ekzameno ekzamenata 2005 . Abhöreinrichtung, Wanze (zum Abhören)"
aŭspicio,"Spontanee aperanta aŭguro, ofte favora: FIG la afero sin prezentas sub favora o (la kondiĉoj estas bonaj por sukceso de la afero)."
aŭspicia,"Bonaŭgura: ŝi pretis aĉeti novan domon, meblojn kaj aliajn necesaĵojn kaj elekti an nuptotagon RugxDom, ĉapitro 67a, volumo 2a, p. 429a."
10aŭstro,"Civitano de ujo: fanatike rasista aŭstro nomita Adolfo, kiu dum ekonomia krizo iĝis kanceliero, kaj poste diktatoro de Germanio, invadis la najbarajn landojn Garbhan MacAoidh Parakosmo Monato 2004/05, p. 27 ; Ŝvarceneger […] estas denaska o, kiu karieris en Holivudo kiel altranga heroo de altstrangaj filmoj kaj poste karieris aktorante kiel guberniestro de Kalifornio Stefan Maul Du mil kvar Monato 2004/12, p. 9 ."
10 aŭstra,"Rilata al oj kaj ilia kulturo, ŝtato ktp: en la a ĉefurbo Vieno ne estis grandaj damaĝoj, ĉar paralele al la malnova riverujo troviĝas la Nova Danubo” Walter Klag Tamen ne la plej alta ... Monato 2013/08, p. 10 ; jen situacio laŭ la a modelo: interpartia malkonkordo malfermas la pordon al dekstruloj, por ke tiuj sin premtrudu en registaran pozicion Guido van Damme Belgio Monato 2001/01, p. 8 ."
10 aŭstrujo LR,"Ŝtato en la centra Eŭropo kun ĉefurbo Vieno; teritorio de Respubliko ujo, limanta kun Ĉeĥujo, Hungarujo, Italujo, Liĥtenŝtejno, Slovakujo, Slovenujo kaj Svisujo: Svisujo, Belgujo, ujo, Kanado, Meksiko Homaranismo Homaranismo ; ujo-Hungarujo Ifigenio ; Hugo Steiner […] en 1930 faris kvarsemajnan varbvojaĝon por ujo tra la nordbohemaj urboj Viki Hugo Steiner ."
