-a,Finaĵo (lingvoscience: sufikso) markanta la vorton kiel adjektivon:
laborabelo,"En a familio, ino sen la reprodukta funkcio, kiu senĉese laboras: interesa aspekto de la evoluado estas, ke la distingo inter laboroj kaj reĝinoj baziĝas nur sur nutraĵo J. Adcock, trad. D. Rogers, De kie? Kien? Kaj kiel?, [1993?]."
Abelo,"Norveglingve: Niels Abel, (1802 - 1829); norvega matematikisto: la -Premio (aŭ a Premio) estas jara matematika premio […], ĉi tiu premio celas kovri la mankon de Nobel-premio por matematiko, kvankam oni konsideris, ke la Medalo Fields estis jam ekvivalento Viki Abel-Premio ."
Abela,"Iel rilata al o: a kriterio (pri konverĝo de iuj serioj). , dezverk Abel, kriter Abel Abelsches Kriterium Abel['s] test critère d'Abel kriteria Abel kryterium Abela ,"
abeledoj,"Familio el la ordo himenopteroj (Apidae): senpikilaj abeloj […] apartenas al la familio oj, kaj estas tre proksime rilataj al la komunaj mielabeloj, ĉarpentabeloj, orkidabeloj, kaj burdoj Viki Meliponino ."
aberacii,"Deflankiĝi, devojiĝi disde la normala, atendebla stato: FIG la UEA-lorno plene kontentigas la centran vidon, sed as ĉe la lensorando C. Minnaja, Lingvo kaj popolo [recenzo], LOdE, 2007:3 (149) ."
aberacio JED,"Deflankiĝo disde la normala stato: o de la sensoj PIV2; o de la juĝokapablo PIV2; MUZ o je −2 cendoj kompare kun la ĝusta kvinto plejofte ne ĝenas Viki, artikolo registro (orgeno), 2008-07-10."
abio,"Ĉiamverda arbo el koniferoj kun starantaj konusoj kaj pingloformaj maldikaj, iom flekseblaj folioj, ofte havantaj malsupre du helajn striojn, kaj elkreskantaj kun piedeto rekte el la branĉoj; genro el familio pinacoj (Abies): cikonio havas sian loĝejon sur oj MT Psalmaro 104:17 ; cipreso, o, kaj bukso kuniĝos, por ornami la lokon MT Jesaja 60:13 ; ĉe o oni povas precize kalkuli la jarojn de ĝia kreskado, se oni kalkutas, kiom da fojoj ĝi ricevis novan trunkidon Fab2 Abio ; la o aspektis tre bonfarte: ĝi estis kvazaŭ iomete da poezio inter la rubaĵoj Fab4 Turgardisto Ole ; la altaj, neĝkovritaj Alpoj, kun nuboj kaj mallumaj oj Fab1 Ĝardeno de la paradizo ; helegaj lumoj, ekbruligitaj inter la verdaj branĉoj de la kristnaskaj oj Marta ."
Abidarmo,"Pridarmaj klarigoj kaj sutrokomentoj, kolektitaj kiel tria korbo de la tripitako: laŭ palia tradicio, sutro diras malrekte, ... o rekte Budhisma Terminaro, 2006-07-10 ; li perfekte primajstris ... sutron, vinajon kaj on Xuanzang , Ĉina abc, [vidita en 2006-10] ."
Abiĝano,"Granda havenurbo en la sudoriento de Ebur-Bordo, inter 1933 kaj 1983 ĝia ĉefurbo: la armeo lin protektas en la prezidanta palaco en la regurbo o Princo Henriko Oguinye Kie paco fariĝas malpaco Monato 2011/03, p. 9 ; jam mortis centoj da civitanoj en o, dum la venkita prezidanto rifuzas rezigni pri sia povo Paul Gubbins Ne menciu la n-vorton Monato 2011/05, p. 7-8 ."
abiseno,"Iu el ujo, regno de 12jc ĝis 1974 sur nuna teritorio de Etiopujo kaj Eritreo: Italio pravigis sian an agadon per la argumento, ke ili intencas liberigi la ojn de la subpremado kaj disvastigi inter ili la kulturon VaK Unua Ĉapitro ; do vi estas perso, ĉu? - ne, mi estas o MortulŜip Ĉapitro 30 ."
